,code,market,date,name,close,totalchange,futureHigh,nextday open,nextday low,nextday high,nextday close,forecast,ratio
64,S 000157,主板,20220706,中联重科,6.27,0,0,0,0,0,0,不涨,0.0048985555768013
65,S 000158,主板,20220706,常山北明,5.91,0,0,0,0,0,0,不涨,0.0014592104125767946
66,S 000159,主板,20220706,国际实业,6.85,0,0,0,0,0,0,不涨,0.02314574457705021
67,S 000166,主板,20220706,申万宏源,4.17,0,0,0,0,0,0,不涨,0.00022438084124587476
68,S 000301,主板,20220706,东方盛虹,16.71,0,0,0,0,0,0,不涨,0.0009427457116544247
69,S 000333,主板,20220706,美的集团,59.28,0,0,0,0,0,0,不涨,0.0003039773728232831
70,S 000338,主板,20220706,潍柴动力,12.14,0,0,0,0,0,0,不涨,0.0011996239190921187
71,S 000400,主板,20220706,许继电气,18.87,0,0,0,0,0,0,不涨,0.0013739693677052855
72,S 000401,主板,20220706,冀东水泥,10.16,0,0,0,0,0,0,不涨,0.0016322892624884844
73,S 000402,主板,20220706,金融街,5.76,0,0,0,0,0,0,不涨,0.00065800198353827
74,S 000403,主板,20220706,派林生物,21.8,0,0,0,0,0,0,不涨,0.0023270694073289633
75,S 000404,主板,20220706,长虹华意,5.59,0,0,0,0,0,0,不涨,0.021106967702507973
76,S 000407,主板,20220706,胜利股份,3.69,0,0,0,0,0,0,不涨,0.0004589954041875899
77,S 000408,主板,20220706,藏格矿业,36.9,0,0,0,0,0,0,不涨,1.039127164403908e-05
78,S 000409,主板,20220706,云鼎科技,5.24,0,0,0,0,0,0,不涨,0.0008500324911437929
79,S 000410,主板,20220706,*ST沈机,4.81,0,0,0,0,0,0,不涨,0.0019323492888361216
80,S 000411,主板,20220706,英特集团,10.25,0,0,0,0,0,0,不涨,0.0016257703537121415
81,S 000413,主板,20220706,东旭光电,1.91,0,0,0,0,0,0,不涨,0.06063435971736908
82,S 000415,主板,20220706,渤海租赁,2.18,0,0,0,0,0,0,不涨,0.00034380503348074853
83,S 000416,主板,20220706,民生控股,3.79,0,0,0,0,0,0,不涨,0.004127757623791695
84,S 000417,主板,20220706,合肥百货,4.45,0,0,0,0,0,0,不涨,0.00141391612123698
85,S 000419,主板,20220706,通程控股,5.08,0,0,0,0,0,0,不涨,0.002983742393553257
86,S 000420,主板,20220706,吉林化纤,4.95,0,0,0,0,0,0,不涨,0.0009697062778286636
87,S 000421,主板,20220706,南京公用,4.77,0,0,0,0,0,0,不涨,0.004923910368233919
88,S 000422,主板,20220706,湖北宜化,21.69,0,0,0,0,0,0,不涨,0.0004032895085401833
89,S 000423,主板,20220706,东阿阿胶,35.38,0,0,0,0,0,0,不涨,0.0014392368029803038
90,S 000425,主板,20220706,徐工机械,5.38,0,0,0,0,0,0,不涨,0.00174874032381922
91,S 000426,主板,20220706,兴业矿业,7.3,0,0,0,0,0,0,不涨,0.03476550430059433
92,S 000428,主板,20220706,华天酒店,4.21,0,0,0,0,0,0,不涨,0.03290903940796852
93,S 000429,主板,20220706,粤高速A,7.71,0,0,0,0,0,0,不涨,0.00011447617725934833
94,S 000430,主板,20220706,张家界,6.65,0,0,0,0,0,0,不涨,0.008712317794561386
95,S 000488,主板,20220706,晨鸣纸业,5.45,0,0,0,0,0,0,不涨,0.0018278037896379828
96,S 000498,主板,20220706,山东路桥,9.8,0,0,0,0,0,0,不涨,1.85259723366471e-05
97,S 000501,主板,20220706,武商集团,10.72,0,0,0,0,0,0,不涨,0.0046404278837144375
98,S 000503,主板,20220706,国新健康,8.71,0,0,0,0,0,0,不涨,0.0007387959631159902
99,S 000504,主板,20220706,南华生物,15.02,0,0,0,0,0,0,不涨,0.0014817153569310904
100,S 000505,主板,20220706,京粮控股,9.0,0,0,0,0,0,0,不涨,0.0031991759315133095
101,S 000506,主板,20220706,中润资源,3.09,0,0,0,0,0,0,不涨,0.005465437192469835
102,S 000507,主板,20220706,珠海港,5.93,0,0,0,0,0,0,不涨,0.0024078567512333393
103,S 000509,主板,20220706,*ST华塑,4.02,0,0,0,0,0,0,不涨,0.049419716000556946
104,S 000510,主板,20220706,新金路,5.68,0,0,0,0,0,0,不涨,0.0032177548855543137
105,S 000513,主板,20220706,丽珠集团,35.83,0,0,0,0,0,0,不涨,0.0015022683655843139
106,S 000514,主板,20220706,渝开发,4.63,0,0,0,0,0,0,不涨,0.022757837548851967
